Entity ID,Entity Name,Change Date,Change Type,Officer Name,Role / Title,Source Filing Document
001299887,"MERCANTILE COMMERCIAL CAPITAL, LLC",03/20/2019,ADDED,CHRIS H. RADCLIFFE,MANAGER,Application for Registration
001299887,"MERCANTILE COMMERCIAL CAPITAL, LLC",03/12/2024,ADDED,MARK T. SULLIVAN,AUTHORIZED PERSON,Annual Report 2024
